City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Myitkyina,MM,2022-10-06 06:58:56,25.3833,97.4,82.58,84,66,2.51
109,Perth,AU,2022-10-06 06:58:56,-31.9333,115.8333,66.02,50,0,16.11
110,Port Lincoln,AU,2022-10-06 06:57:59,-34.7333,135.8667,63.54,71,100,9.66
111,Bethel,US,2022-10-06 06:58:57,41.3712,-73.414,59.49,85,9,4.0
112,Cherskiy,RU,2022-10-06 06:58:57,68.75,161.3,28.69,93,100,25.01
113,Severo-Kurilsk,RU,2022-10-06 06:58:58,50.6789,156.125,45.0,81,62,16.15
114,Tiksi,RU,2022-10-06 06:58:58,71.6872,128.8694,24.3,89,98,17.83
115,Avarua,CK,2022-10-06 06:58:58,-21.2078,-159.775,75.25,73,75,9.22
116,Kasongo-Lunda,CD,2022-10-06 06:58:59,-6.4667,16.8167,75.56,80,99,0.98
117,Half Moon Bay,US,2022-10-06 06:58:59,37.4636,-122.4286,66.11,89,100,0.0
118,Halden,NO,2022-10-06 06:59:00,59.1226,11.3871,50.43,77,100,17.47
119,Ancud,CL,2022-10-06 06:59:00,-41.8697,-73.8203,45.14,81,100,7.0
120,Castro,BR,2022-10-06 06:59:01,-24.7911,-50.0119,56.89,97,100,6.06
121,Kargopol,RU,2022-10-06 06:59:01,61.5071,38.9456,45.82,82,99,6.15
122,Tasiilaq,GL,2022-10-06 06:59:02,65.6145,-37.6368,25.05,51,88,6.24
123,Airai,TL,2022-10-06 06:58:41,-8.9266,125.4092,72.0,64,100,3.67
124,Klaksvik,FO,2022-10-06 06:59:02,62.2266,-6.589,47.32,81,92,12.3
125,Broken Hill,AU,2022-10-06 06:59:03,-31.95,141.4333,80.53,21,5,14.76
126,Kiunga,PG,2022-10-06 06:59:03,-6.1219,141.2906,84.67,80,100,2.42
127,Iqaluit,CA,2022-10-06 06:59:04,63.7506,-68.5145,29.93,92,100,16.11
128,Gravdal,NO,2022-10-06 06:59:05,68.1214,13.5031,48.09,81,75,14.97
129,Sao Filipe,CV,2022-10-06 06:59:05,14.8961,-24.4956,78.75,84,99,10.98
130,Chokurdakh,RU,2022-10-06 06:59:06,70.6333,147.9167,18.14,96,63,7.94
131,Acapulco,MX,2022-10-06 06:57:10,16.8634,-99.8901,77.09,85,75,4.21
132,Ustka,PL,2022-10-06 06:57:16,54.5805,16.8619,58.64,80,10,26.51
133,Nome,US,2022-10-06 06:59:07,64.5011,-165.4064,43.16,83,100,21.94
134,Copiapo,CL,2022-10-06 06:59:08,-27.3667,-70.3333,53.98,59,0,2.19
135,San Jose,US,2022-10-06 06:58:50,37.3394,-121.895,65.59,80,20,1.01
136,Calbuco,CL,2022-10-06 07:00:09,-41.768,-73.1273,45.97,85,57,6.13
137,Vestmannaeyjar,IS,2022-10-06 07:00:10,63.4427,-20.2734,42.24,74,68,7.96
138,Talnakh,RU,2022-10-06 07:00:11,69.4865,88.3972,31.21,95,97,4.85
139,Tuatapere,NZ,2022-10-06 07:00:11,-46.1333,167.6833,43.92,67,100,10.69
